Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_steps"">Total Steps</span>",Media
8469494602,"Jan 29, 2023, 9:25:21 AM",Afternoon Run,Run,,361,1.04,,,false,,,activities/8469494602.gpx,,,361.0,355.0,1042.449951171875,4.438000679016113,2.936478853225708,5.932257175445557,3.732257127761841,34.29999923706055,38.79999923706055,12.495125770568848,0.21104130148887634,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1058.300048828125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.8876729011535645,103.4000015258789,,,,,""
8486700296,"Feb 1, 2023, 10:51:40 AM",Evening Run,Run,,172,0.53,,,false,,,activities/8486700296.gpx,,,172.0,168.0,529.489990234375,4.159999847412109,3.151726245880127,2.47478985786438,0.7747899293899536,34.099998474121094,37.0,6.446995258331299,0.32106366753578186,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,537.4000244140625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.07843017578125,0.0,,,,,""
8491841529,"Feb 2, 2023, 9:29:13 AM",Afternoon Run,Run,,363,1.07,,,false,,,activities/8491841529.gpx,,,363.0,359.0,1075.8699951171875,4.752001762390137,2.996852397918701,5.110000133514404,6.909999847412109,34.29999923706055,39.5,10.702342987060547,-0.16730645298957825,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1084.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.963829278945923,0.0,,,,,""
8497454719,"Feb 3, 2023, 11:04:11 AM",Evening Run,Run,,541,0.99,,,false,,,activities/8497454719.gpx,,,541.0,371.0,993.3499755859375,4.971997261047363,2.677493095397949,0.0,0.699999988079071,33.0,37.0,7.233314514160156,-0.07046861946582794,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,996.7000122070312,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.8361366987228394,0.0,,,,,""
8513769991,"Feb 6, 2023, 8:45:42 AM",Afternoon Run,Run,,726,2.06,,,false,,,activities/8513769991.gpx,,,726.0,709.0,2065.419921875,5.109997749328613,2.913145065307617,8.550714492797852,9.250714302062988,34.29999923706055,38.79999923706055,4.315928936004639,-0.03389141336083412,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2069.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.844931125640869,0.0,,,,,""
8519457912,"Feb 7, 2023, 9:53:41 AM",Afternoon Run,Run,,389,0.99,,,false,,,activities/8519457912.gpx,,,389.0,382.0,994.469970703125,3.9100000858306885,2.6033244132995605,4.973052501678467,3.6730525493621826,32.0,37.5,13.14169692993164,0.13072289526462555,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1011.2000122070312,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.5564780235290527,315.1000061035156,,,,,""
8525412979,"Feb 8, 2023, 10:31:04 AM",Evening Run,Run,,374,1.10,,,false,,,activities/8525412979.gpx,,,374.0,371.0,1101.22998046875,4.122003078460693,2.9682748317718506,7.4666666984558105,6.766666889190674,33.29999923706055,39.5,14.134285926818848,0.06356528401374817,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1117.199951171875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.944465160369873,0.0,,,,,""
8531084245,"Feb 9, 2023, 10:42:04 AM",Evening Run,Run,,652,2.04,,,false,,,activities/8531084245.gpx,,,652.0,643.0,2042.0699462890625,7.3166656494140625,3.1758475303649902,11.008282661437988,10.008282661437988,33.0,39.5,7.9462175369262695,0.048969920724630356,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2059.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.1320090293884277,109.9000015258789,,,,,""
8536328664,"Feb 10, 2023, 10:25:35 AM",Evening Run,Run,,329,1.02,,,false,,,activities/8536328664.gpx,,,329.0,326.0,1023.969970703125,4.925999641418457,3.141012191772461,5.127777576446533,4.527777671813965,34.29999923706055,39.5,5.068791389465332,0.05859546735882759,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1031.5999755859375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.112370729446411,0.0,,,,,""
8541568643,"Feb 11, 2023, 10:49:27 AM",Evening Run,Run,,322,1.10,,,false,,,activities/8541568643.gpx,,,322.0,314.0,1104.5,8.960000991821289,3.5175158977508545,9.815978050231934,7.615978717803955,31.5,39.400001525878906,17.15265655517578,0.19918514788150787,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1161.300048828125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.430124282836914,0.0,,,,,""
8564350136,"Feb 15, 2023, 10:39:24 AM",Evening Run,Run,,406,1.02,,,false,,,activities/8564350136.gpx,,,406.0,400.0,1025.8499755859375,3.88800048828125,2.5646250247955322,13.146666526794434,0.3466666638851166,21.700000762939453,35.70000076293945,9.063450813293457,1.2477457523345947,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1063.199951171875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.526724100112915,0.0,,,,,""
8569969872,"Feb 16, 2023, 10:29:35 AM",Evening Run,Run,,414,1.02,,,false,,,activities/8569969872.gpx,,,414.0,405.0,1026.6199951171875,3.582000732421875,2.5348641872406006,18.037931442260742,-0.46206897497177124,21.700000762939453,40.599998474121094,5.333333492279053,1.8020299673080444,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1081.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.4797585010528564,0.0,,,,,""
8581067224,"Feb 18, 2023, 12:52:45 PM",Evening Run,Run,,382,1.14,,,false,,,activities/8581067224.gpx,,,382.0,359.0,1144.2099609375,7.682000160217285,3.1872143745422363,6.486666679382324,2.0866665840148926,29.600000381469727,36.900001525878906,12.437813758850098,0.38454481959342957,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1166.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.995314121246338,149.10000610351562,,,,,""
8581150675,"Feb 18, 2023, 1:10:11 PM",Night Run,Run,,160,0.60,,,false,,,activities/8581150675.gpx,,,160.0,160.0,599.4500122070312,6.7760009765625,3.7465624809265137,4.692500114440918,-0.007499999832361937,33.099998474121094,38.599998474121094,4.9019646644592285,0.7840520143508911,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,614.5999755859375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.7465624809265137,11.399999618530273,,,,,""
8586093454,"Feb 19, 2023, 10:44:27 AM",Evening Run,Run,,934,3.06,,,false,,,activities/8586093454.gpx,,,934.0,934.0,3062.409912109375,13.57800006866455,3.278811454772949,14.842231750488281,26.34223175048828,34.0,47.099998474121094,17.013368606567383,-0.3755212426185608,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3098.699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.278811454772949,422.3999938964844,,,,,""
8591852687,"Feb 20, 2023, 11:15:41 AM",Evening Run,Run,,152,0.49,,,false,,,activities/8591852687.gpx,,,152.0,148.0,495.94000244140625,5.420001029968262,3.3509459495544434,19.862777709960938,11.062777519226074,29.299999237060547,43.400001525878906,25.487262725830078,1.774408221244812,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,625.4000244140625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.262763261795044,0.0,,,,,""
8597181806,"Feb 21, 2023, 10:25:52 AM",Evening Run,Run,,359,1.00,,,false,,,activities/8597181806.gpx,,,359.0,359.0,1007.27001953125,4.032000541687012,2.8057661056518555,4.265277862548828,3.965277671813965,34.29999923706055,38.79999923706055,3.5087718963623047,0.029783474281430244,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1011.0999755859375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.8057661056518555,0.0,,,,,""
8597272872,"Feb 21, 2023, 10:42:34 AM",Evening Run,Run,,741,2.04,,,false,,,activities/8597272872.gpx,,,741.0,741.0,2040.0,3.8680052757263184,2.7530364990234375,0.0,0.8999999761581421,33.0,35.0,7.25512170791626,-0.04411764815449715,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2047.4000244140625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.7530364990234375,0.0,,,,,""
8603282723,"Feb 22, 2023, 11:38:22 AM",Evening Run,Run,,413,1.16,,,false,,,activities/8603282723.gpx,,,413.0,410.0,1165.8499755859375,4.511999607086182,2.843536615371704,2.48421049118042,5.084210395812988,33.0,36.70000076293945,7.971012592315674,-0.2230132520198822,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1169.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.8228812217712402,0.0,,,,,""
8613515285,"Feb 24, 2023, 10:18:40 AM",Evening Run,Run,,376,1.15,,,false,,,activities/8613515285.gpx,,,376.0,360.0,1151.949951171875,5.314001560211182,3.1998610496520996,5.131999969482422,5.0320000648498535,34.29999923706055,39.5,5.2956743240356445,0.008680933155119419,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1158.5999755859375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0636966228485107,80.30000305175781,,,,,""
8629754653,"Feb 27, 2023, 9:44:25 AM",Afternoon Run,Run,,318,1.05,,,false,,,activities/8629754653.gpx,,,318.0,309.0,1058.9300537109375,6.2819976806640625,3.4269580841064453,6.168449401855469,5.768449306488037,33.0,39.400001525878906,11.261255264282227,0.0377739779651165,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1077.4000244140625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.3299686908721924,191.89999389648438,,,,,""
8629829154,"Feb 27, 2023, 10:01:59 AM",Evening Run,Run,,652,2.02,,,false,,,activities/8629829154.gpx,,,652.0,648.0,2027.030029296875,5.322000026702881,3.1281328201293945,13.186975479125977,12.786975860595703,33.20000076293945,39.5,8.590200424194336,0.019733304157853127,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2043.5999755859375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.1089417934417725,98.19999694824219,,,,,""
8635055809,"Feb 28, 2023, 10:05:20 AM",Evening Run,Run,,383,1.11,,,false,,,activities/8635055809.gpx,,,383.0,373.0,1114.8299560546875,4.05999755859375,2.9888203144073486,5.675176620483398,5.275176525115967,33.20000076293945,37.0,7.874015808105469,0.03587990999221802,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1126.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.910783290863037,0.0,,,,,""
8635219102,"Feb 28, 2023, 10:36:13 AM",Evening Run,Run,,1030,3.02,,,false,,,activities/8635219102.gpx,,,1030.0,1030.0,3027.72998046875,5.212011814117432,2.9395437240600586,12.067516326904297,11.567516326904297,33.0,42.70000076293945,24.82541847229004,0.016514021903276443,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3099.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.9395437240600586,0.0,,,,,""
8640587173,"Mar 1, 2023, 9:09:39 AM",Afternoon Run,Run,,299,1.02,,,false,,,activities/8640587173.gpx,,,299.0,299.0,1025.68994140625,5.099999904632568,3.430401086807251,5.730621814727783,4.230621814727783,33.29999923706055,39.5,13.26274585723877,0.14624302089214325,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1042.199951171875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.430401086807251,0.0,,,,,""
8640697250,"Mar 1, 2023, 9:44:01 AM",Afternoon Run,Run,,375,1.01,,,false,,,activities/8640697250.gpx,,,375.0,375.0,1010.0900268554688,3.799999952316284,2.693573474884033,0.0,1.0,33.0,35.20000076293945,6.349209785461426,-0.09900107979774475,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1013.2999877929688,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.693573474884033,0.0,,,,,""
8646315002,"Mar 2, 2023, 10:00:06 AM",Evening Run,Run,,694,2.03,,,false,,,activities/8646315002.gpx,,,694.0,691.0,2029.1300048828125,4.305993556976318,2.9365122318267822,0.0,2.9000000953674316,33.0,36.400001525878906,6.962582111358643,-0.1429183930158615,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2033.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.923818349838257,0.0,,,,,""
8652277314,"Mar 3, 2023, 12:20:42 PM",Evening Run,Run,,303,1.16,,,false,,,activities/8652277314.gpx,,,303.0,298.0,1163.5,8.461999893188477,3.904362440109253,20.299999237060547,20.0,16.899999618530273,39.5,42.92832946777344,0.025784270837903023,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1325.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.8399341106414795,81.0,,,,0.0,""
8657421026,"Mar 4, 2023, 11:39:56 AM",Evening Run,Run,,384,1.02,,,false,,,activities/8657421026.gpx,,,384.0,384.0,1023.969970703125,3.632006883621216,2.666588544845581,2.957608699798584,3.3576087951660156,33.0,36.400001525878906,7.349923133850098,-0.039063647389411926,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1031.0999755859375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.666588544845581,0.0,,,,0.0,""
8662093345,"Mar 5, 2023, 8:11:21 AM",Afternoon Run,Run,,724,2.32,,,false,,,activities/8662093345.gpx,,,724.0,714.0,2323.52001953125,9.176000595092773,3.254229784011841,12.522275924682617,10.322275161743164,33.400001525878906,39.5,6.535946369171143,0.0946839302778244,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2340.300048828125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.2092816829681396,0.0,,,,0.0,""
8668714498,"Mar 6, 2023, 9:42:38 AM",Afternoon Run,Run,,384,1.16,,,false,,,activities/8668714498.gpx,,,384.0,379.0,1162.75,5.288000583648682,3.067941904067993,6.724096775054932,7.524096965789795,33.0,36.70000076293945,6.102211952209473,-0.06880240887403488,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1169.699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0279948711395264,0.0,,,,0.0,""
8668800068,"Mar 6, 2023, 9:57:39 AM",Afternoon Run,Run,,1027,3.15,,,false,,,activities/8668800068.gpx,,,1027.0,1023.0,3155.139892578125,6.398001194000244,3.0842032432556152,15.522871971130371,14.622872352600098,33.0,39.5,12.019227981567383,0.028524884954094887,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3189.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.072190761566162,366.5,,,,0.0,""
8674307693,"Mar 7, 2023, 10:42:47 AM",Evening Run,Run,,1018,2.75,,,false,,,activities/8674307693.gpx,,,1018.0,1018.0,2758.969970703125,3.855999708175659,2.710186719894409,19.709091186523438,31.909090042114258,21.700000762939453,42.20000076293945,5.716592788696289,-0.44219401478767395,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2755.199951171875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.710186719894409,0.0,,,,0.0,""
8679699394,"Mar 8, 2023, 9:41:16 AM",Afternoon Run,Run,,448,1.21,,,false,,,activities/8679699394.gpx,,,448.0,448.0,1213.6700439453125,3.6340088844299316,2.709084987640381,2.0450000762939453,19.344999313354492,21.700000762939453,41.20000076293945,7.36649227142334,-1.4254286289215088,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1183.199951171875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.709084987640381,0.0,,,,0.0,""
8684915552,"Mar 9, 2023, 9:38:46 AM",Afternoon Run,Run,,377,1.02,,,false,,,activities/8684915552.gpx,,,377.0,377.0,1022.2000122070312,4.5,2.7114057540893555,2.811660051345825,3.4116601943969727,33.0,36.5,7.120634078979492,-0.0586969256401062,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1028.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.7114057540893555,0.0,,,,0.0,""
